epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,35804.5,1.34431,0.5885,0.00852,0.91301,0.88318,0.94309,0.52279,1.66719,0.70687,0.01183,0.0014654,0.0014654,0.0014654
56,36463.4,1.32314,0.57995,0.00809,0.94428,0.88785,0.93534,0.54176,1.55898,0.63106,0.01086,0.0014555,0.0014555,0.0014555
57,37111.6,1.27765,0.53683,0.00758,0.93176,0.8972,0.92034,0.55252,1.47144,0.66976,0.01059,0.0014456,0.0014456,0.0014456
58,37750.2,1.26504,0.51784,0.00771,0.90647,0.93458,0.9548,0.55254,1.46988,0.54339,0.01023,0.0014357,0.0014357,0.0014357
59,38386.4,1.24991,0.53177,0.00757,0.94707,0.91589,0.9547,0.52151,1.56907,0.57419,0.0114,0.0014258,0.0014258,0.0014258
60,39022.3,1.21068,0.55433,0.00758,0.95139,0.91455,0.93846,0.54511,1.54814,0.60607,0.01067,0.0014159,0.0014159,0.0014159
61,39680.4,1.25374,0.56366,0.00782,0.94603,0.91121,0.94426,0.55364,1.4597,0.56287,0.01035,0.001406,0.001406,0.001406
62,40321.7,1.24221,0.53921,0.00751,0.9349,0.92056,0.95576,0.56944,1.43535,0.52075,0.01019,0.0013961,0.0013961,0.0013961
63,40957.7,1.23098,0.52244,0.00746,0.9133,0.92523,0.9512,0.56264,1.44082,0.55688,0.01025,0.0013862,0.0013862,0.0013862
64,41603.5,1.24911,0.54884,0.00767,0.92993,0.93031,0.95232,0.54982,1.48002,0.60701,0.01042,0.0013763,0.0013763,0.0013763
65,42242.3,1.23827,0.54639,0.00753,0.95478,0.88801,0.94378,0.55612,1.52247,0.53515,0.0107,0.0013664,0.0013664,0.0013664
66,42914,1.20951,0.49098,0.00775,0.92625,0.91589,0.94961,0.55602,1.49683,0.57388,0.0104,0.0013565,0.0013565,0.0013565
67,43563,1.20394,0.52315,0.00738,0.88611,0.91589,0.93864,0.5446,1.46902,0.5899,0.01091,0.0013466,0.0013466,0.0013466
68,44213.7,1.23842,0.53966,0.00753,0.91094,0.92056,0.95125,0.56244,1.52159,0.55072,0.01067,0.0013367,0.0013367,0.0013367
69,44862.2,1.20031,0.53894,0.00746,0.91389,0.89267,0.93937,0.54958,1.45478,0.5758,0.01042,0.0013268,0.0013268,0.0013268
70,45504.6,1.20555,0.51092,0.00751,0.92838,0.90864,0.95029,0.55896,1.46055,0.55035,0.01019,0.0013169,0.0013169,0.0013169
71,46146.6,1.18473,0.49091,0.00728,0.92902,0.91742,0.95396,0.54292,1.59163,0.56373,0.01107,0.001307,0.001307,0.001307
72,46803.2,1.19328,0.48751,0.00708,0.91485,0.8785,0.92119,0.54127,1.43863,0.56521,0.01086,0.0012971,0.0012971,0.0012971
73,47449.5,1.21439,0.51938,0.00744,0.90563,0.91589,0.94665,0.57759,1.40887,0.51261,0.00949,0.0012872,0.0012872,0.0012872
74,48082,1.15617,0.49273,0.00759,0.91866,0.91589,0.93058,0.51427,1.63457,0.59756,0.0112,0.0012773,0.0012773,0.0012773
75,48721.3,1.18114,0.51414,0.00742,0.91357,0.91589,0.93153,0.54996,1.52126,0.60067,0.01052,0.0012674,0.0012674,0.0012674
76,49352,1.17729,0.52434,0.0075,0.90926,0.88318,0.93169,0.5285,1.56292,0.60428,0.01073,0.0012575,0.0012575,0.0012575
77,50011.2,1.17225,0.51587,0.00746,0.94457,0.8785,0.94354,0.52681,1.59209,0.60294,0.01042,0.0012476,0.0012476,0.0012476
78,50648.6,1.16221,0.51358,0.00701,0.92777,0.90187,0.93771,0.55925,1.56249,0.54053,0.01008,0.0012377,0.0012377,0.0012377
79,51261.7,1.16261,0.49719,0.00723,0.92127,0.91589,0.93617,0.57298,1.49532,0.52178,0.01001,0.0012278,0.0012278,0.0012278
80,51899.7,1.14817,0.51719,0.00678,0.93262,0.89252,0.94185,0.5851,1.42092,0.57037,0.00934,0.0012179,0.0012179,0.0012179
81,52525,1.1602,0.49887,0.00745,0.94627,0.90519,0.95924,0.58576,1.45888,0.49878,0.00966,0.001208,0.001208,0.001208
82,53179.2,1.1796,0.527,0.00729,0.90235,0.90684,0.9385,0.565,1.51104,0.64982,0.01012,0.0011981,0.0011981,0.0011981
83,53815.7,1.11759,0.50616,0.00696,0.92942,0.92302,0.9567,0.55499,1.49966,0.56226,0.01018,0.0011882,0.0011882,0.0011882
84,54456.5,1.13383,0.49224,0.00706,0.9637,0.86842,0.94052,0.54452,1.59762,0.64217,0.01053,0.0011783,0.0011783,0.0011783
85,55111.1,1.15208,0.51023,0.00706,0.97995,0.87383,0.95589,0.57998,1.46453,0.5123,0.01009,0.0011684,0.0011684,0.0011684
86,55761.5,1.1489,0.47835,0.00703,0.90332,0.91686,0.94849,0.57334,1.4547,0.57312,0.0098,0.0011585,0.0011585,0.0011585
87,56402.1,1.15824,0.48481,0.00731,0.93606,0.88938,0.9354,0.57143,1.41563,0.57345,0.00979,0.0011486,0.0011486,0.0011486
88,57058.8,1.12991,0.48359,0.00706,0.93788,0.92523,0.95319,0.56897,1.51339,0.53853,0.01031,0.0011387,0.0011387,0.0011387
89,57711.7,1.10013,0.46691,0.00655,0.93773,0.91477,0.95668,0.58556,1.48149,0.50183,0.00989,0.0011288,0.0011288,0.0011288
90,58354.8,1.07171,0.44105,0.00642,0.89636,0.8785,0.93523,0.58954,1.31614,0.5347,0.00929,0.0011189,0.0011189,0.0011189
91,59015.6,1.12559,0.47754,0.00705,0.96008,0.89913,0.96478,0.58463,1.40886,0.53724,0.00986,0.001109,0.001109,0.001109
92,59664.5,1.0974,0.45161,0.00649,0.96014,0.90654,0.94863,0.56278,1.51148,0.51411,0.01062,0.0010991,0.0010991,0.0010991
93,60316.9,1.11006,0.48356,0.00686,0.95401,0.8972,0.96584,0.58884,1.40045,0.51526,0.00949,0.0010892,0.0010892,0.0010892
94,60990.1,1.0671,0.44987,0.0067,0.92223,0.92056,0.94478,0.56525,1.54805,0.55241,0.01023,0.0010793,0.0010793,0.0010793
95,61646,1.0626,0.44617,0.00651,0.95086,0.90654,0.94922,0.55755,1.5432,0.58688,0.01053,0.0010694,0.0010694,0.0010694
96,62288.4,1.05533,0.43367,0.00616,0.94581,0.91121,0.957,0.58337,1.48514,0.56269,0.00992,0.0010595,0.0010595,0.0010595
97,62933.9,1.02216,0.42786,0.00615,0.97081,0.89252,0.94816,0.56423,1.53054,0.58908,0.01005,0.0010496,0.0010496,0.0010496
98,63579.1,1.06023,0.44969,0.00652,0.93476,0.9373,0.96431,0.55314,1.50278,0.58122,0.00987,0.0010397,0.0010397,0.0010397
99,64243.1,1.08248,0.45245,0.00649,0.92592,0.94393,0.95544,0.58614,1.4393,0.5855,0.00978,0.0010298,0.0010298,0.0010298
100,64887.5,1.09481,0.43339,0.00667,0.89803,0.8972,0.92584,0.57129,1.40757,0.60707,0.00994,0.0010199,0.0010199,0.0010199
101,65538,1.06504,0.45305,0.00649,0.95148,0.92056,0.96064,0.58703,1.39971,0.46792,0.01008,0.00101,0.00101,0.00101
102,66181.1,1.04759,0.44584,0.00641,0.94479,0.94393,0.95947,0.56596,1.55582,0.55983,0.00995,0.0010001,0.0010001,0.0010001
103,66828.4,1.02699,0.41885,0.00635,0.9582,0.91121,0.96104,0.58125,1.47546,0.52368,0.00985,0.0009902,0.0009902,0.0009902
104,67522.6,1.00359,0.42169,0.00616,0.94931,0.92056,0.94751,0.57022,1.52133,0.52212,0.01018,0.0009803,0.0009803,0.0009803
105,68250.8,1.03121,0.41476,0.00667,0.92052,0.95327,0.96074,0.58102,1.43353,0.53979,0.00987,0.0009704,0.0009704,0.0009704
