epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,46348.1,1.1267,0.46218,0.00793,0.89905,0.94393,0.95459,0.56327,1.53725,0.51789,0.01058,0.0004358,0.0004358,0.0004358
81,46923.4,1.14352,0.48084,0.00779,0.96995,0.905,0.96116,0.54269,1.54726,0.52768,0.01097,0.000416,0.000416,0.000416
82,47487.8,1.13247,0.44669,0.00822,0.93202,0.92991,0.95204,0.5853,1.35267,0.49136,0.0096,0.0003962,0.0003962,0.0003962
83,48053.2,1.12539,0.46011,0.00791,0.94557,0.93458,0.95219,0.54496,1.55014,0.53156,0.01134,0.0003764,0.0003764,0.0003764
84,48617.6,1.10869,0.45861,0.00792,0.97529,0.92234,0.95454,0.58185,1.39165,0.49936,0.00977,0.0003566,0.0003566,0.0003566
85,49176.7,1.04847,0.43426,0.00763,0.96998,0.90598,0.95257,0.56527,1.45676,0.54112,0.01028,0.0003368,0.0003368,0.0003368
86,49743.2,1.05279,0.45108,0.00714,0.96121,0.92631,0.95717,0.57057,1.45532,0.48302,0.01024,0.000317,0.000317,0.000317
87,50323.1,1.06504,0.43807,0.00775,0.92036,0.93458,0.95261,0.57408,1.41468,0.51297,0.01013,0.0002972,0.0002972,0.0002972
88,50899.2,1.09708,0.45192,0.00777,0.92504,0.92056,0.95089,0.59043,1.32736,0.5138,0.00926,0.0002774,0.0002774,0.0002774
89,51460.7,1.06959,0.42679,0.00748,0.93569,0.95183,0.95298,0.58574,1.35675,0.49447,0.00965,0.0002576,0.0002576,0.0002576
90,52026.3,1.08158,0.44674,0.00733,0.9611,0.92372,0.95565,0.58479,1.38347,0.49188,0.00973,0.0002378,0.0002378,0.0002378
91,52595.1,0.98452,0.32581,0.0072,0.96657,0.94564,0.95819,0.5928,1.36473,0.47317,0.0097,0.000218,0.000218,0.000218
92,53166.7,0.98567,0.31434,0.00713,0.93987,0.94953,0.95577,0.58543,1.41275,0.47623,0.0099,0.0001982,0.0001982,0.0001982
93,53737.8,0.99272,0.32806,0.0074,0.95753,0.93458,0.95457,0.5789,1.41993,0.49172,0.01,0.0001784,0.0001784,0.0001784
94,54310.4,0.95891,0.3163,0.00693,0.95218,0.93048,0.9538,0.58987,1.34952,0.48123,0.00959,0.0001586,0.0001586,0.0001586
95,54891.9,0.96941,0.3337,0.00682,0.94954,0.92991,0.95454,0.5812,1.39973,0.49948,0.01001,0.0001388,0.0001388,0.0001388
96,55461.3,0.94425,0.29696,0.00679,0.93639,0.9486,0.95484,0.58174,1.40949,0.49991,0.00999,0.000119,0.000119,0.000119
97,56036.3,0.93639,0.30284,0.00671,0.93524,0.94484,0.95203,0.58431,1.39429,0.52258,0.00983,9.92e-05,9.92e-05,9.92e-05
98,56603.1,0.93561,0.28605,0.00672,0.9528,0.92056,0.95133,0.58109,1.36877,0.53029,0.00952,7.94e-05,7.94e-05,7.94e-05
99,57178.1,0.9632,0.31151,0.00703,0.9461,0.91589,0.95061,0.58722,1.33962,0.52551,0.00934,5.96e-05,5.96e-05,5.96e-05
100,57761.6,0.93828,0.29821,0.00697,0.93298,0.93925,0.95232,0.58828,1.3477,0.50681,0.00944,3.98e-05,3.98e-05,3.98e-05
