epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,27058.3,1.0075,0.49166,0.00578,0.95116,0.91015,0.96529,0.61266,1.37041,0.5588,0.00876,0.0010595,0.0010595,0.0010595
97,27355,1.00782,0.49127,0.00595,0.97701,0.90187,0.97075,0.62446,1.41278,0.50712,0.0094,0.0010496,0.0010496,0.0010496
98,27643.4,0.9999,0.49571,0.00595,0.9336,0.8972,0.96092,0.62551,1.23464,0.4962,0.00854,0.0010397,0.0010397,0.0010397
99,27937.1,0.99526,0.46431,0.00571,0.93582,0.91121,0.96094,0.62401,1.26189,0.47379,0.00833,0.0010298,0.0010298,0.0010298
100,28227.7,0.95701,0.44363,0.00559,0.95037,0.89478,0.96433,0.62481,1.30816,0.45752,0.00854,0.0010199,0.0010199,0.0010199
101,28513.1,0.96939,0.44146,0.00557,0.96634,0.87383,0.95607,0.61182,1.33885,0.51037,0.00935,0.00101,0.00101,0.00101
102,28810.3,1.00764,0.46825,0.00594,0.93719,0.90635,0.95357,0.60036,1.26433,0.50128,0.00874,0.0010001,0.0010001,0.0010001
103,29153.5,0.98115,0.45667,0.00561,0.90469,0.93147,0.96181,0.6117,1.27872,0.51332,0.0087,0.0009902,0.0009902,0.0009902
104,29476.8,0.96518,0.46356,0.00552,0.9533,0.8972,0.95749,0.60875,1.28118,0.4852,0.00851,0.0009803,0.0009803,0.0009803
105,29790.3,0.95467,0.46325,0.00582,0.95326,0.8785,0.9577,0.60561,1.30697,0.52987,0.00887,0.0009704,0.0009704,0.0009704
106,30131.6,0.96925,0.42579,0.00571,0.94102,0.89467,0.94286,0.62419,1.1976,0.50024,0.00836,0.0009605,0.0009605,0.0009605
107,30428.4,0.95876,0.46077,0.00565,0.92905,0.91785,0.94956,0.61074,1.3114,0.50888,0.00888,0.0009506,0.0009506,0.0009506
108,30727,0.95199,0.43332,0.00546,0.92784,0.90121,0.96669,0.59513,1.31126,0.47789,0.00906,0.0009407,0.0009407,0.0009407
109,31031.8,0.9336,0.43246,0.00567,0.9109,0.91121,0.95083,0.59531,1.28681,0.51794,0.00868,0.0009308,0.0009308,0.0009308
110,31360.1,0.96087,0.45713,0.00595,0.91926,0.90448,0.94214,0.60361,1.33909,0.51331,0.00908,0.0009209,0.0009209,0.0009209
111,31645.3,0.93653,0.45148,0.00567,0.94434,0.90187,0.94616,0.6133,1.3119,0.54137,0.00893,0.000911,0.000911,0.000911
112,31939.3,0.95098,0.44959,0.00594,0.91268,0.92523,0.9354,0.61674,1.27947,0.51097,0.00863,0.0009011,0.0009011,0.0009011
